epoch,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor,mAP
50,1.0,-1.0,-1.0,-1.0,0.1111111119389534,0.1344827562570572,0.828329861164093,-1.0,0.9815102815628052,-1.0,-1.0,-1.0,-1.0,0.5,-1.0,0.939068078994751,-1.0,1.0,-1.0,-1.0,68.6812744140625
51,1.0,-1.0,-1.0,-1.0,0.3333333432674408,0.2023809552192688,0.5645079016685486,-1.0,0.9895904660224915,-1.0,-1.0,-1.0,-1.0,0.10000000149011612,-1.0,0.9435853362083435,-1.0,1.0,-1.0,-1.0,64.16747283935547
52,1.0,-1.0,-1.0,-1.0,1.0,0.32692307233810425,0.79134202003479,-1.0,0.976334273815155,-1.0,-1.0,-1.0,-1.0,0.07692307978868484,-1.0,0.9714033007621765,-1.0,1.0,-1.0,-1.0,76.78656768798828
53,1.0,-1.0,-1.0,-1.0,0.5,0.12037037312984467,0.6909031867980957,-1.0,0.9777901768684387,-1.0,-1.0,-1.0,-1.0,0.0833333358168602,-1.0,0.9760397672653198,-1.0,1.0,-1.0,-1.0,66.85546112060547
54,0.5,-1.0,-1.0,-1.0,0.1666666716337204,0.5357142686843872,0.4131234288215637,-1.0,0.98578941822052,-1.0,-1.0,-1.0,-1.0,0.1428571492433548,-1.0,0.9711343050003052,-1.0,1.0,-1.0,-1.0,58.94105911254883
55,0.07692307978868484,-1.0,-1.0,-1.0,0.5,0.32692307233810425,0.6496952176094055,-1.0,0.9877923130989075,-1.0,-1.0,-1.0,-1.0,0.0555555559694767,-1.0,0.9681171178817749,-1.0,1.0,-1.0,-1.0,57.06257629394531
56,1.0,-1.0,-1.0,-1.0,0.3333333432674408,0.5555555820465088,0.6871510744094849,-1.0,0.9839187264442444,-1.0,-1.0,-1.0,-1.0,0.1666666716337204,-1.0,0.9621210098266602,-1.0,1.0,-1.0,-1.0,71.10932922363281
57,0.20000000298023224,-1.0,-1.0,-1.0,0.10000000149011612,0.5344827771186829,0.6244668960571289,-1.0,0.9252609014511108,-1.0,-1.0,-1.0,-1.0,0.0357142873108387,-1.0,0.9456491470336914,-1.0,1.0,-1.0,-1.0,54.569671630859375
58,0.04545454680919647,-1.0,-1.0,-1.0,1.0,0.28703704476356506,0.48432400822639465,-1.0,0.9354294538497925,-1.0,-1.0,-1.0,-1.0,0.09090909361839294,-1.0,0.9572116136550903,-1.0,1.0,-1.0,-1.0,60.00457000732422
59,0.06666667014360428,-1.0,-1.0,-1.0,1.0,0.5357142686843872,0.462620347738266,-1.0,0.9445593357086182,-1.0,-1.0,-1.0,-1.0,0.03999999910593033,-1.0,0.9562914371490479,-1.0,0.5,-1.0,-1.0,56.32314682006836
60,1.0,-1.0,-1.0,-1.0,1.0,0.5344827771186829,0.755820095539093,-1.0,0.9892124533653259,-1.0,-1.0,-1.0,-1.0,0.0476190485060215,-1.0,0.9658879041671753,-1.0,1.0,-1.0,-1.0,78.66278076171875
61,1.0,-1.0,-1.0,-1.0,0.25,0.14761905372142792,0.6271474957466125,-1.0,0.9766300320625305,-1.0,-1.0,-1.0,-1.0,0.03333333507180214,-1.0,0.964582085609436,-1.0,1.0,-1.0,-1.0,62.491397857666016
62,1.0,-1.0,-1.0,-1.0,0.20000000298023224,0.5400000214576721,0.6070512533187866,-1.0,0.9883589744567871,-1.0,-1.0,-1.0,-1.0,0.1666666716337204,-1.0,0.9179427623748779,-1.0,1.0,-1.0,-1.0,67.750244140625
63,1.0,-1.0,-1.0,-1.0,1.0,0.13571429252624512,0.6996587514877319,-1.0,0.9797620177268982,-1.0,-1.0,-1.0,-1.0,0.5,-1.0,0.9634508490562439,-1.0,1.0,-1.0,-1.0,78.4823226928711
